user,role
VDZIAUHO,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
VDZIAUHO,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
VDZIAUHO,PROFILE:sap.dwc:Data_Warehouse_Cloud_Consumer
VDZIAUHO,PROFILE:sap.dwc:Data_Warehouse_Cloud_Space_Administrator
VDZIAUHO,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Consumer
VDZIAUHO,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
VDZIAUHO,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
VDZIAUHO,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
VDZIAUHO,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
VLITVINCHUK,PROFILE:sap.odc:Data_Catalog_Administrator
VLITVINCHUK,PROFILE:sap.odc:Data_Catalog_User
VLITVINCHUK,PROFILE:sap.dwc:Data_Warehouse_Cloud_Administrator
VLITVINCHUK,PROFILE:sap.dwc:Data_Warehouse_Cloud_Consumer
VLITVINCHUK,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
VLITVINCHUK,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
VLITVINCHUK,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Consumer
VLITVINCHUK,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
VLITVINCHUK,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
VLITVINCHUK,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
VLITVINCHUK,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
VLITVINCHUK,PROFILE:sap.dwc:Data_Warehouse_Cloud_Space_Administrator
VLITVINCHUK,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
VLITVINCHUK,PROFILE:sap.epm:Security_Administrator
VLITVINCHUK,PROFILE:t.11:ZDS_CONSUMER
VLITVINCHUK,PROFILE:t.11:ZDS_CONSUMER_SAP_Scope
VLITVINCHUK,PROFILE:t.11:ZDS_DEVELOPER
VLITVINCHUK,PROFILE:t.11:ZDS_DEVELOPER_SAP_Scope
VLITVINCHUK,PROFILE:t.11:ZDS_USERMANAGER
VLITVINCHUK,PROFILE:t.11:ZDS_USERMANAGER_SAP_Scope
VRASPUTIN,PROFILE:sap.odc:Data_Catalog_Administrator
VRASPUTIN,PROFILE:sap.dwc:Data_Warehouse_Cloud_Administrator
VRASPUTIN,PROFILE:sap.dwc:Data_Warehouse_Cloud_Consumer
VRASPUTIN,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
VRASPUTIN,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
VRASPUTIN,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Consumer
VRASPUTIN,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
VRASPUTIN,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
VRASPUTIN,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
VRASPUTIN,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
VRASPUTIN,PROFILE:sap.dwc:Data_Warehouse_Cloud_Space_Administrator
VRASPUTIN,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
VRASPUTIN,PROFILE:sap.epm:Security_Administrator
VRASPUTIN,PROFILE:t.11:ZDS_USERMANAGER
VRASPUTIN,PROFILE:t.11:ZDS_DEVELOPER_SAP_Scope
VRASPUTIN,PROFILE:t.11:ZDS_DEVELOPER
VRASPUTIN,PROFILE:t.11:ZDS_CONSUMER_SAP_Scope
VRASPUTIN,PROFILE:t.11:ZDS_CONSUMER
VRASPUTIN,PROFILE:t.11:ZDS_USERMANAGER_SAP_Scope
VRASPUTIN,PROFILE:sap.odc:Data_Catalog_User
VSALASHENKA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
VSALASHENKA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
VSALASHENKA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
VSALASHENKA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Administrator
VSALASHENKA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Consumer
VSALASHENKA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Space_Administrator
VSALASHENKA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Consumer
VSALASHENKA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
VSALASHENKA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
VSALASHENKA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
VSALASHENKA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
VSANIKOVICH,PROFILE:sap.odc:Data_Catalog_Administrator
VSANIKOVICH,PROFILE:sap.odc:Data_Catalog_User
VSANIKOVICH,PROFILE:sap.dwc:Data_Warehouse_Cloud_Administrator
VSANIKOVICH,PROFILE:sap.dwc:Data_Warehouse_Cloud_Consumer
VSANIKOVICH,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
VSANIKOVICH,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
VSANIKOVICH,PROFILE:sap.dwc:Data_Warehouse_Cloud_Space_Administrator
VSANIKOVICH,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
VSANIKOVICH,PROFILE:sap.epm:Security_Administrator
VSANIKOVICH,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Consumer
VSANIKOVICH,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
VSANIKOVICH,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
VSANIKOVICH,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
VSANIKOVICH,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
YMINICH,PROFILE:sap.odc:Data_Catalog_User
YMINICH,PROFILE:sap.dwc:Data_Warehouse_Cloud_Consumer
YMINICH,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
YMINICH,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
YMINICH,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
YMINICH,PROFILE:sap.dwc:Data_Warehouse_Cloud_Space_Administrator
YMINICH,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Consumer
YMINICH,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
YMINICH,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
YMINICH,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
YMINICH,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
