user,role
ATROEGLAZOVA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
ATROEGLAZOVA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
ESTRIZHOV,PROFILE:sap.odc:Data_Catalog_User
ESTRIZHOV,PROFILE:sap.dwc:Data_Warehouse_Cloud_Consumer
ESTRIZHOV,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
ESTRIZHOV,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
ESTRIZHOV,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
ESTRIZHOV,PROFILE:sap.dwc:Data_Warehouse_Cloud_Space_Administrator
ESTRIZHOV,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Consumer
ESTRIZHOV,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
ESTRIZHOV,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
ESTRIZHOV,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
ESTRIZHOV,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
EZABIYAKIN,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
EZABIYAKIN,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
EZABIYAKIN,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
EZABIYAKIN,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
EZABIYAKIN,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
EZABIYAKIN,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
ISELOVENKO,PROFILE:sap.odc:Data_Catalog_Administrator
ISELOVENKO,PROFILE:sap.odc:Data_Catalog_User
ISELOVENKO,PROFILE:sap.dwc:Data_Warehouse_Cloud_Administrator
ISELOVENKO,PROFILE:sap.dwc:Data_Warehouse_Cloud_Space_Administrator
ISELOVENKO,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
ISTANKEVICH,PROFILE:sap.odc:Data_Catalog_User
ISTANKEVICH,PROFILE:sap.dwc:Data_Warehouse_Cloud_Consumer
ISTANKEVICH,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
ISTANKEVICH,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
ISTANKEVICH,PROFILE:sap.dwc:Data_Warehouse_Cloud_Space_Administrator
ISTANKEVICH,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
ISTANKEVICH,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Consumer
ISTANKEVICH,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
ISTANKEVICH,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
ISTANKEVICH,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
ISTANKEVICH,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
ITRIFONOV,PROFILE:sap.odc:Data_Catalog_Administrator
ITRIFONOV,PROFILE:sap.odc:Data_Catalog_User
ITRIFONOV,PROFILE:sap.dwc:Data_Warehouse_Cloud_Administrator
ITRIFONOV,PROFILE:sap.dwc:Data_Warehouse_Cloud_Consumer
ITRIFONOV,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
ITRIFONOV,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
ITRIFONOV,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Consumer
ITRIFONOV,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
ITRIFONOV,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
ITRIFONOV,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
ITRIFONOV,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
ITRIFONOV,PROFILE:t.11:ZDS_USERMANAGER_SAP_Scope
ITRIFONOV,PROFILE:t.11:ZDS_USERMANAGER
ITRIFONOV,PROFILE:t.11:ZDS_DEVELOPER_SAP_Scope
ITRIFONOV,PROFILE:t.11:ZDS_DEVELOPER
ITRIFONOV,PROFILE:t.11:ZDS_CONSUMER_SAP_Scope
ITRIFONOV,PROFILE:t.11:ZDS_CONSUMER
ITRIFONOV,PROFILE:sap.epm:Security_Administrator
KGEKISS,PROFILE:sap.odc:Data_Catalog_Administrator
KGEKISS,PROFILE:sap.odc:Data_Catalog_User
KGEKISS,PROFILE:sap.dwc:Data_Warehouse_Cloud_Administrator
KGEKISS,PROFILE:sap.dwc:Data_Warehouse_Cloud_Consumer
KGEKISS,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
KGEKISS,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
KGEKISS,PROFILE:sap.dwc:Data_Warehouse_Cloud_Space_Administrator
KGEKISS,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
KGEKISS,PROFILE:sap.epm:Security_Administrator
KGEKISS,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Consumer
KGEKISS,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
KGEKISS,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
KGEKISS,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
KGEKISS,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
KKHARANEKA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
KKHARANEKA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
KKHARANEKA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
KKHARANEKA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
KKHARANEKA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
KKHARANEKA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
KSEMYONOV,PROFILE:sap.odc:Data_Catalog_Administrator
KSEMYONOV,PROFILE:sap.odc:Data_Catalog_User
KSEMYONOV,PROFILE:sap.dwc:Data_Warehouse_Cloud_Consumer
KSEMYONOV,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
KSEMYONOV,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
KSEMYONOV,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
KSEMYONOV,PROFILE:sap.dwc:Data_Warehouse_Cloud_Space_Administrator
KSEMYONOV,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Consumer
KSEMYONOV,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
KSEMYONOV,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
KSEMYONOV,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
KSEMYONOV,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
MBEEKINK,PROFILE:sap.dwc:Data_Warehouse_Cloud_Consumer
MBEEKINK,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
MBEEKINK,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
MBEEKINK,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
MBEEKINK,PROFILE:sap.dwc:Data_Warehouse_Cloud_Space_Administrator
MBEEKINK,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Consumer
MBEEKINK,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
MBEEKINK,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
